Episode 001 | Reward:  -31.068 | Steps:  1 | Success: False | Epsilon: 1.000
Episode 002 | Reward:  -26.543 | Steps:  1 | Success: False | Epsilon: 0.996
Episode 003 | Reward:  -52.754 | Steps: 12 | Success: True | Epsilon: 0.994
Episode 004 | Reward:  -30.108 | Steps:  1 | Success: False | Epsilon: 0.992
Episode 005 | Reward: -292.288 | Steps: 26 | Success: True | Epsilon: 0.989
Episode 006 | Reward:  -27.950 | Steps:  1 | Success: False | Epsilon: 0.987
Episode 007 | Reward: -108.369 | Steps:  7 | Success: False | Epsilon: 0.985
Episode 008 | Reward:   -4.150 | Steps:  5 | Success: True | Epsilon: 0.983
Episode 009 | Reward:  -26.643 | Steps:  1 | Success: False | Epsilon: 0.981
Episode 010 | Reward:  -78.144 | Steps: 12 | Success: True | Epsilon: 0.980
Episode 011 | Reward: -124.861 | Steps: 18 | Success: True | Epsilon: 0.978
Episode 012 | Reward:  -23.449 | Steps:  1 | Success: False | Epsilon: 0.976
Episode 013 | Reward:  -32.842 | Steps:  1 | Success: False | Epsilon: 0.974
Episode 014 | Reward:  -28.774 | Steps:  1 | Success: False | Epsilon: 0.973
Episode 015 | Reward:  -90.827 | Steps:  6 | Success: False | Epsilon: 0.971
Episode 016 | Reward:  -14.691 | Steps:  5 | Success: True | Epsilon: 0.969
Episode 017 | Reward:  -63.906 | Steps: 18 | Success: True | Epsilon: 0.968
Episode 018 | Reward:  -26.595 | Steps:  1 | Success: False | Epsilon: 0.966
Episode 019 | Reward:  -26.440 | Steps:  1 | Success: False | Epsilon: 0.965
Episode 020 | Reward:  -96.450 | Steps:  6 | Success: False | Epsilon: 0.963
Episode 021 | Reward:  -26.296 | Steps:  1 | Success: False | Epsilon: 0.961
Episode 022 | Reward: -339.376 | Steps: 28 | Success: True | Epsilon: 0.960
Episode 023 | Reward:  -39.155 | Steps: 10 | Success: True | Epsilon: 0.958
Episode 024 | Reward: -124.632 | Steps:  8 | Success: False | Epsilon: 0.957
Episode 025 | Reward:  -92.257 | Steps:  6 | Success: False | Epsilon: 0.955
Validation | episode=25 success=6.00% recent_reward=-73.143
New best model saved. val_success=6.00% recent_reward=-73.143
Episode 026 | Reward:  -26.200 | Steps:  1 | Success: False | Epsilon: 0.954
Episode 027 | Reward:  -27.998 | Steps:  8 | Success: True | Epsilon: 0.952
Episode 028 | Reward:  -35.719 | Steps: 13 | Success: True | Epsilon: 0.951
Episode 029 | Reward:  -28.920 | Steps:  8 | Success: True | Epsilon: 0.950
Episode 030 | Reward:  -59.036 | Steps: 10 | Success: True | Epsilon: 0.948
Episode 031 | Reward:   -5.782 | Steps:  4 | Success: True | Epsilon: 0.947
Episode 032 | Reward: -138.704 | Steps: 21 | Success: True | Epsilon: 0.945
Episode 033 | Reward: -140.964 | Steps: 27 | Success: True | Epsilon: 0.944
Episode 034 | Reward:  -36.459 | Steps:  2 | Success: False | Epsilon: 0.942
Episode 035 | Reward: -131.396 | Steps: 15 | Success: True | Epsilon: 0.941
Episode 036 | Reward:  -26.296 | Steps:  1 | Success: False | Epsilon: 0.940
Episode 037 | Reward:  -99.421 | Steps:  6 | Success: False | Epsilon: 0.938
Episode 038 | Reward:  -26.440 | Steps:  1 | Success: False | Epsilon: 0.937
Episode 039 | Reward:    2.907 | Steps:  3 | Success: True | Epsilon: 0.936
Episode 040 | Reward: -226.039 | Steps: 20 | Success: True | Epsilon: 0.934
Episode 041 | Reward:  -26.494 | Steps:  1 | Success: False | Epsilon: 0.933
Episode 042 | Reward:  -92.892 | Steps:  6 | Success: False | Epsilon: 0.932
Episode 043 | Reward:  -26.426 | Steps:  1 | Success: False | Epsilon: 0.930
Episode 044 | Reward: -183.331 | Steps: 11 | Success: False | Epsilon: 0.929
Episode 045 | Reward: -354.077 | Steps: 29 | Success: True | Epsilon: 0.928
Episode 046 | Reward: -109.458 | Steps: 17 | Success: True | Epsilon: 0.926
Episode 047 | Reward:  -27.967 | Steps:  1 | Success: False | Epsilon: 0.925
Episode 048 | Reward:  -26.200 | Steps:  1 | Success: False | Epsilon: 0.924
Episode 049 | Reward:  -31.068 | Steps:  1 | Success: False | Epsilon: 0.922
Episode 050 | Reward:  -26.095 | Steps:  6 | Success: True | Epsilon: 0.921
Validation | episode=50 success=52.00% recent_reward=-84.406
New best model saved. val_success=52.00% recent_reward=-84.406
Episode 051 | Reward:  -13.232 | Steps:  6 | Success: True | Epsilon: 0.920
Episode 052 | Reward:  -32.833 | Steps:  1 | Success: False | Epsilon: 0.919
Episode 053 | Reward: -142.446 | Steps:  9 | Success: False | Epsilon: 0.917
Episode 054 | Reward: -142.144 | Steps: 17 | Success: True | Epsilon: 0.916
Episode 055 | Reward:  -77.728 | Steps: 24 | Success: True | Epsilon: 0.915
Episode 056 | Reward: -187.872 | Steps: 11 | Success: False | Epsilon: 0.913
Episode 057 | Reward:  -75.128 | Steps: 14 | Success: True | Epsilon: 0.912
Episode 058 | Reward: -111.358 | Steps: 15 | Success: True | Epsilon: 0.911
Episode 059 | Reward: -117.870 | Steps: 15 | Success: True | Epsilon: 0.910
Episode 060 | Reward:  -26.429 | Steps:  1 | Success: False | Epsilon: 0.908
Episode 061 | Reward:  -12.652 | Steps:  6 | Success: True | Epsilon: 0.907
Episode 062 | Reward: -222.642 | Steps: 22 | Success: True | Epsilon: 0.906
Episode 063 | Reward:  -76.445 | Steps:  5 | Success: False | Epsilon: 0.905
Episode 064 | Reward:  -24.178 | Steps:  1 | Success: False | Epsilon: 0.904
Episode 065 | Reward: -252.042 | Steps: 26 | Success: True | Epsilon: 0.902
Episode 066 | Reward:  -27.884 | Steps:  1 | Success: False | Epsilon: 0.901
Episode 067 | Reward:  -37.798 | Steps: 10 | Success: True | Epsilon: 0.900
Episode 068 | Reward: -255.692 | Steps: 15 | Success: False | Epsilon: 0.899
