Episode 001 | Reward:   12.000 | Steps: 13 | Success: True | Epsilon: 1.000
New best model saved. Avg(last 1)=12.000
Episode 002 | Reward:   22.000 | Steps: 30 | Success: True | Epsilon: 0.998
New best model saved. Avg(last 2)=17.000
Episode 003 | Reward:   16.000 | Steps:  3 | Success: True | Epsilon: 0.997
Episode 004 | Reward:   30.000 | Steps: 10 | Success: True | Epsilon: 0.995
New best model saved. Avg(last 4)=20.000
Episode 005 | Reward:   20.000 | Steps:  5 | Success: True | Epsilon: 0.994
Episode 006 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.992
Episode 007 | Reward:   20.000 | Steps:  5 | Success: True | Epsilon: 0.990
Episode 008 | Reward:    6.000 | Steps: 16 | Success: True | Epsilon: 0.989
Episode 009 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.987
Episode 010 | Reward:  -42.000 | Steps: 34 | Success: True | Epsilon: 0.986
Episode 011 | Reward:    0.000 | Steps: 16 | Success: True | Epsilon: 0.984
Episode 012 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.983
Episode 013 | Reward:   -2.000 | Steps: 12 | Success: True | Epsilon: 0.981
Episode 014 | Reward:   30.000 | Steps: 10 | Success: True | Epsilon: 0.979
Episode 015 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.978
Episode 016 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.976
Episode 017 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.975
Episode 018 | Reward:    8.000 | Steps:  5 | Success: True | Epsilon: 0.973
Episode 019 | Reward:   12.000 | Steps: 16 | Success: True | Epsilon: 0.971
Episode 020 | Reward:  -38.000 | Steps:  7 | Success: False | Epsilon: 0.970
Episode 021 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.968
Episode 022 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.967
Episode 023 | Reward:   38.000 | Steps: 14 | Success: True | Epsilon: 0.965
Episode 024 | Reward:   14.000 | Steps: 11 | Success: True | Epsilon: 0.964
Episode 025 | Reward:  -38.000 | Steps:  7 | Success: False | Epsilon: 0.962
Episode 026 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.960
Episode 027 | Reward:   -2.000 | Steps: 12 | Success: True | Epsilon: 0.959
Episode 028 | Reward:   32.000 | Steps: 11 | Success: True | Epsilon: 0.957
Episode 029 | Reward:   32.000 | Steps: 14 | Success: True | Epsilon: 0.956
Episode 030 | Reward:   34.000 | Steps: 12 | Success: True | Epsilon: 0.954
Episode 031 | Reward:   62.000 | Steps: 26 | Success: True | Epsilon: 0.952
Episode 032 | Reward:   -2.000 | Steps: 18 | Success: True | Epsilon: 0.951
Episode 033 | Reward:   32.000 | Steps: 35 | Success: True | Epsilon: 0.949
Episode 034 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.948
Episode 035 | Reward:    4.000 | Steps: 12 | Success: True | Epsilon: 0.946
Episode 036 | Reward:   14.000 | Steps: 14 | Success: True | Epsilon: 0.944
Episode 037 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.943
Episode 038 | Reward:   16.000 | Steps:  3 | Success: True | Epsilon: 0.941
Episode 039 | Reward:   10.000 | Steps: 12 | Success: True | Epsilon: 0.940
Episode 040 | Reward:   32.000 | Steps: 23 | Success: True | Epsilon: 0.938
Episode 041 | Reward:   46.000 | Steps: 18 | Success: True | Epsilon: 0.937
Episode 042 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.935
Episode 043 | Reward:   18.000 | Steps: 16 | Success: True | Epsilon: 0.933
Episode 044 | Reward:   14.000 | Steps:  2 | Success: True | Epsilon: 0.932
Episode 045 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.930
Episode 046 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.929
Episode 047 | Reward:   30.000 | Steps: 10 | Success: True | Epsilon: 0.927
New best model saved. Avg(last 20)=20.400
Episode 048 | Reward:   28.000 | Steps:  9 | Success: True | Epsilon: 0.925
Episode 049 | Reward:   58.000 | Steps: 24 | Success: True | Epsilon: 0.924
New best model saved. Avg(last 20)=21.500
Episode 050 | Reward:   30.000 | Steps: 10 | Success: True | Epsilon: 0.922
Episode 051 | Reward:   58.000 | Steps: 24 | Success: True | Epsilon: 0.921
Episode 052 | Reward:   26.000 | Steps:  8 | Success: True | Epsilon: 0.919
New best model saved. Avg(last 20)=22.500
Episode 053 | Reward:  -46.000 | Steps:  9 | Success: False | Epsilon: 0.918
Episode 054 | Reward:   24.000 | Steps: 22 | Success: True | Epsilon: 0.916
Episode 055 | Reward:   18.000 | Steps:  4 | Success: True | Epsilon: 0.914
Episode 056 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.913
Episode 057 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.911
Episode 058 | Reward:    0.000 | Steps: 34 | Success: True | Epsilon: 0.910
Episode 059 | Reward:   24.000 | Steps:  7 | Success: True | Epsilon: 0.908
Episode 060 | Reward:   14.000 | Steps:  8 | Success: True | Epsilon: 0.906
Episode 061 | Reward:   16.000 | Steps:  3 | Success: True | Epsilon: 0.905
Episode 062 | Reward:   20.000 | Steps: 14 | Success: True | Epsilon: 0.903
Episode 063 | Reward:    8.000 | Steps: 32 | Success: True | Epsilon: 0.902
Episode 064 | Reward:   44.000 | Steps: 17 | Success: True | Epsilon: 0.900
Episode 065 | Reward:    2.000 | Steps: 14 | Success: True | Epsilon: 0.898
Episode 066 | Reward:   30.000 | Steps: 25 | Success: True | Epsilon: 0.897
Episode 067 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.895
Episode 068 | Reward:    8.000 | Steps: 11 | Success: True | Epsilon: 0.894
Episode 069 | Reward:   36.000 | Steps: 13 | Success: True | Epsilon: 0.892
Episode 070 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.891
Episode 071 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.889
Episode 072 | Reward:   26.000 | Steps: 23 | Success: True | Epsilon: 0.887
Episode 073 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.886
Episode 074 | Reward:   44.000 | Steps: 17 | Success: True | Epsilon: 0.884
Episode 075 | Reward:   22.000 | Steps:  6 | Success: True | Epsilon: 0.883
Episode 076 | Reward:   24.000 | Steps:  7 | Success: True | Epsilon: 0.881
Episode 077 | Reward:   30.000 | Steps: 10 | Success: True | Epsilon: 0.879
Episode 078 | Reward:    8.000 | Steps: 23 | Success: True | Epsilon: 0.878
Episode 079 | Reward:    6.000 | Steps: 10 | Success: True | Epsilon: 0.876
Episode 080 | Reward:   18.000 | Steps: 25 | Success: True | Epsilon: 0.875
Episode 081 | Reward:    2.000 | Steps: 14 | Success: True | Epsilon: 0.873
Episode 082 | Reward:   24.000 | Steps: 25 | Success: True | Epsilon: 0.872
Episode 083 | Reward:   16.000 | Steps:  3 | Success: True | Epsilon: 0.870
Episode 084 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.868
Episode 085 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.867
Episode 086 | Reward:   28.000 | Steps: 40 | Success: False | Epsilon: 0.865
Episode 087 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.864
Episode 088 | Reward:   48.000 | Steps: 19 | Success: True | Epsilon: 0.862
Episode 089 | Reward:   28.000 | Steps:  9 | Success: True | Epsilon: 0.860
Episode 090 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.859
Episode 091 | Reward:  -32.000 | Steps:  7 | Success: False | Epsilon: 0.857
Episode 092 | Reward:    8.000 | Steps:  8 | Success: True | Epsilon: 0.856
Episode 093 | Reward:   44.000 | Steps: 17 | Success: True | Epsilon: 0.854
Episode 094 | Reward:   -4.000 | Steps: 29 | Success: True | Epsilon: 0.853
Episode 095 | Reward:  -38.000 | Steps:  7 | Success: False | Epsilon: 0.851
Episode 096 | Reward:   22.000 | Steps:  6 | Success: True | Epsilon: 0.849
Episode 097 | Reward:   40.000 | Steps: 15 | Success: True | Epsilon: 0.848
Episode 098 | Reward:   22.000 | Steps:  6 | Success: True | Epsilon: 0.846
Episode 099 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.845
Episode 100 | Reward:   32.000 | Steps: 17 | Success: True | Epsilon: 0.843
Episode 101 | Reward:   -8.000 | Steps: 21 | Success: True | Epsilon: 0.841
Episode 102 | Reward:   24.000 | Steps: 40 | Success: True | Epsilon: 0.840
Episode 103 | Reward:   24.000 | Steps:  7 | Success: True | Epsilon: 0.838
Episode 104 | Reward:   -6.000 | Steps: 16 | Success: True | Epsilon: 0.837
Episode 105 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.835
Episode 106 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.833
Episode 107 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.832
Episode 108 | Reward:   12.000 | Steps: 16 | Success: True | Epsilon: 0.830
Episode 109 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.829
Episode 110 | Reward:   -8.000 | Steps: 24 | Success: True | Epsilon: 0.827
Episode 111 | Reward:   16.000 | Steps:  3 | Success: True | Epsilon: 0.826
Episode 112 | Reward:   16.000 | Steps: 21 | Success: True | Epsilon: 0.824
Episode 113 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.822
Episode 114 | Reward:   40.000 | Steps: 15 | Success: True | Epsilon: 0.821
Episode 115 | Reward:    8.000 | Steps:  5 | Success: True | Epsilon: 0.819
Episode 116 | Reward:   74.000 | Steps: 38 | Success: True | Epsilon: 0.818
Episode 117 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.816
Episode 118 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.814
Episode 119 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.813
Episode 120 | Reward:  -32.000 | Steps:  7 | Success: False | Epsilon: 0.811
Episode 121 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.810
Episode 122 | Reward:   42.000 | Steps: 19 | Success: True | Epsilon: 0.808
Episode 123 | Reward:   66.000 | Steps: 28 | Success: True | Epsilon: 0.807
Episode 124 | Reward:   36.000 | Steps: 13 | Success: True | Epsilon: 0.805
Episode 125 | Reward:   16.000 | Steps:  3 | Success: True | Epsilon: 0.803
Episode 126 | Reward:   24.000 | Steps:  7 | Success: True | Epsilon: 0.802
Episode 127 | Reward:    8.000 | Steps: 20 | Success: True | Epsilon: 0.800
Episode 128 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.799
Episode 129 | Reward:   24.000 | Steps: 19 | Success: True | Epsilon: 0.797
Episode 130 | Reward:   20.000 | Steps:  5 | Success: True | Epsilon: 0.795
Episode 131 | Reward:   22.000 | Steps: 15 | Success: True | Epsilon: 0.794
Episode 132 | Reward:  -38.000 | Steps:  7 | Success: False | Epsilon: 0.792
Episode 133 | Reward:   16.000 | Steps: 27 | Success: True | Epsilon: 0.791
Episode 134 | Reward:   -4.000 | Steps: 32 | Success: True | Epsilon: 0.789
Episode 135 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.787
Episode 136 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.786
Episode 137 | Reward:  -42.000 | Steps:  8 | Success: False | Epsilon: 0.784
Episode 138 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.783
Episode 139 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.781
Episode 140 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.780
Episode 141 | Reward:   10.000 | Steps:  9 | Success: True | Epsilon: 0.778
Episode 142 | Reward:  -16.000 | Steps: 32 | Success: True | Epsilon: 0.776
Episode 143 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.775
Episode 144 | Reward:   22.000 | Steps:  6 | Success: True | Epsilon: 0.773
Episode 145 | Reward:   24.000 | Steps: 22 | Success: True | Epsilon: 0.772
Episode 146 | Reward:   12.000 | Steps:  7 | Success: True | Epsilon: 0.770
Episode 147 | Reward:   16.000 | Steps: 18 | Success: True | Epsilon: 0.768
Episode 148 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.767
Episode 149 | Reward:   44.000 | Steps: 29 | Success: True | Epsilon: 0.765
Episode 150 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.764
Episode 151 | Reward:   32.000 | Steps: 26 | Success: True | Epsilon: 0.762
Episode 152 | Reward:   16.000 | Steps:  3 | Success: True | Epsilon: 0.761
Episode 153 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.759
Episode 154 | Reward:   62.000 | Steps: 26 | Success: True | Epsilon: 0.757
Episode 155 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.756
Episode 156 | Reward:   40.000 | Steps: 15 | Success: True | Epsilon: 0.754
Episode 157 | Reward:    0.000 | Steps: 37 | Success: True | Epsilon: 0.753
Episode 158 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.751
Episode 159 | Reward:   24.000 | Steps:  7 | Success: True | Epsilon: 0.749
Episode 160 | Reward:   58.000 | Steps: 24 | Success: True | Epsilon: 0.748
Episode 161 | Reward:   14.000 | Steps:  5 | Success: True | Epsilon: 0.746
Episode 162 | Reward:   32.000 | Steps: 11 | Success: True | Epsilon: 0.745
Episode 163 | Reward:  -38.000 | Steps:  7 | Success: False | Epsilon: 0.743
Episode 164 | Reward:   -4.000 | Steps: 11 | Success: True | Epsilon: 0.741
Episode 165 | Reward:   28.000 | Steps:  9 | Success: True | Epsilon: 0.740
Episode 166 | Reward:   20.000 | Steps:  5 | Success: True | Epsilon: 0.738
Episode 167 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.737
Episode 168 | Reward:    0.000 | Steps: 22 | Success: True | Epsilon: 0.735
Episode 169 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.734
Episode 170 | Reward:   62.000 | Steps: 29 | Success: True | Epsilon: 0.732
Episode 171 | Reward:   18.000 | Steps:  4 | Success: True | Epsilon: 0.730
Episode 172 | Reward:    6.000 | Steps: 19 | Success: True | Epsilon: 0.729
Episode 173 | Reward:   40.000 | Steps: 30 | Success: True | Epsilon: 0.727
Episode 174 | Reward:    8.000 | Steps: 20 | Success: True | Epsilon: 0.726
Episode 175 | Reward:  -28.000 | Steps:  6 | Success: False | Epsilon: 0.724
Episode 176 | Reward:   62.000 | Steps: 26 | Success: True | Epsilon: 0.722
Episode 177 | Reward:   28.000 | Steps:  9 | Success: True | Epsilon: 0.721
Episode 178 | Reward:  -32.000 | Steps:  7 | Success: False | Epsilon: 0.719
Episode 179 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.718
Episode 180 | Reward:   30.000 | Steps: 10 | Success: True | Epsilon: 0.716
Episode 181 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.715
Episode 182 | Reward:    8.000 | Steps: 23 | Success: True | Epsilon: 0.713
Episode 183 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.711
Episode 184 | Reward:  -16.000 | Steps: 23 | Success: True | Epsilon: 0.710
Episode 185 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.708
Episode 186 | Reward:   22.000 | Steps:  6 | Success: True | Epsilon: 0.707
Episode 187 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.705
Episode 188 | Reward:   30.000 | Steps: 10 | Success: True | Epsilon: 0.703
Episode 189 | Reward:   54.000 | Steps: 22 | Success: True | Epsilon: 0.702
Episode 190 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.700
Episode 191 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.699
Episode 192 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.697
Episode 193 | Reward:   18.000 | Steps:  4 | Success: True | Epsilon: 0.695
Episode 194 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.694
Episode 195 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.692
Episode 196 | Reward:   38.000 | Steps: 29 | Success: True | Epsilon: 0.691
Episode 197 | Reward:  -48.000 | Steps: 11 | Success: False | Epsilon: 0.689
Episode 198 | Reward:   12.000 | Steps:  1 | Success: True | Epsilon: 0.688
Episode 199 | Reward:   -4.000 | Steps: 20 | Success: True | Epsilon: 0.686
Episode 200 | Reward:   32.000 | Steps: 11 | Success: True | Epsilon: 0.684
Episode 201 | Reward:   64.000 | Steps: 27 | Success: True | Epsilon: 0.683
Episode 202 | Reward:    0.000 | Steps: 16 | Success: True | Epsilon: 0.681
Episode 203 | Reward:  -48.000 | Steps: 11 | Success: False | Epsilon: 0.680
Episode 204 | Reward:    8.000 | Steps: 11 | Success: True | Epsilon: 0.678
Episode 205 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.676
Episode 206 | Reward:   20.000 | Steps: 32 | Success: True | Epsilon: 0.675
Episode 207 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.673
Episode 208 | Reward:   14.000 | Steps:  2 | Success: True | Epsilon: 0.672
Episode 209 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.670
Episode 210 | Reward:    4.000 | Steps:  9 | Success: True | Epsilon: 0.669
Episode 211 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.667
Episode 212 | Reward:   20.000 | Steps:  5 | Success: True | Epsilon: 0.665
Episode 213 | Reward:   32.000 | Steps: 26 | Success: True | Epsilon: 0.664
Episode 214 | Reward:   36.000 | Steps: 13 | Success: True | Epsilon: 0.662
Episode 215 | Reward:  -32.000 | Steps:  7 | Success: False | Epsilon: 0.661
Episode 216 | Reward:   30.000 | Steps: 16 | Success: True | Epsilon: 0.659
Episode 217 | Reward:  -38.000 | Steps: 40 | Success: False | Epsilon: 0.657
Episode 218 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.656
Episode 219 | Reward:   12.000 | Steps: 19 | Success: True | Epsilon: 0.654
Episode 220 | Reward:  -40.000 | Steps:  9 | Success: False | Epsilon: 0.653
Episode 221 | Reward:   70.000 | Steps: 39 | Success: True | Epsilon: 0.651
Episode 222 | Reward:   40.000 | Steps: 24 | Success: True | Epsilon: 0.649
