/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 001 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 1.000
New best model saved. Avg(last 1)=8.000
Episode 002 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.999
Episode 003 | Reward:   22.000 | Steps:  9 | Success: True | Epsilon: 0.997
Episode 004 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.996
Episode 005 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.995
Episode 006 | Reward:  -14.000 | Steps: 26 | Success: True | Epsilon: 0.993
Episode 007 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.992
Episode 008 | Reward:   14.000 | Steps: 23 | Success: True | Epsilon: 0.990
Episode 009 | Reward:    8.000 | Steps:  5 | Success: True | Epsilon: 0.989
Episode 010 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.988
Episode 011 | Reward:   24.000 | Steps: 19 | Success: True | Epsilon: 0.986
Episode 012 | Reward:   11.000 | Steps: 22 | Success: True | Epsilon: 0.985
Episode 013 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.984
Episode 014 | Reward:   14.000 | Steps:  2 | Success: True | Epsilon: 0.982
New best model saved. Avg(last 14)=8.214
Episode 015 | Reward:   36.000 | Steps: 16 | Success: True | Epsilon: 0.981
New best model saved. Avg(last 15)=10.067
Episode 016 | Reward:  -19.000 | Steps: 22 | Success: True | Epsilon: 0.980
Episode 017 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.978
Episode 018 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.977
Episode 019 | Reward:   18.000 | Steps:  7 | Success: True | Epsilon: 0.976
Episode 020 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.974
Episode 021 | Reward:  -24.000 | Steps: 34 | Success: True | Epsilon: 0.973
Episode 022 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.971
Episode 023 | Reward:  -47.000 | Steps: 39 | Success: True | Epsilon: 0.970
Episode 024 | Reward:   26.000 | Steps: 23 | Success: True | Epsilon: 0.969
Episode 025 | Reward:   21.000 | Steps:  6 | Success: True | Epsilon: 0.967
Episode 026 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.966
Episode 027 | Reward:   -2.000 | Steps: 30 | Success: True | Epsilon: 0.965
Episode 028 | Reward:  -18.000 | Steps: 25 | Success: True | Epsilon: 0.963
Episode 029 | Reward:   11.000 | Steps: 19 | Success: True | Epsilon: 0.962
Episode 030 | Reward:  -15.000 | Steps:  1 | Success: False | Epsilon: 0.961
Episode 031 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.959
Episode 032 | Reward:  -37.000 | Steps:  8 | Success: False | Epsilon: 0.958
Episode 033 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.957
Episode 034 | Reward:   -6.000 | Steps: 23 | Success: True | Epsilon: 0.955
Episode 035 | Reward:   42.000 | Steps: 24 | Success: True | Epsilon: 0.954
Episode 036 | Reward:    9.000 | Steps:  3 | Success: True | Epsilon: 0.952
