/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 001 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 1.000
New best model saved. Avg(last 1)=8.000
Episode 002 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.999
Episode 003 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.998
Episode 004 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.996
Episode 005 | Reward:   40.000 | Steps: 21 | Success: True | Epsilon: 0.995
New best model saved. Avg(last 5)=14.400
Episode 006 | Reward:   17.000 | Steps:  7 | Success: True | Epsilon: 0.994
New best model saved. Avg(last 6)=14.833
Episode 007 | Reward: -130.000 | Steps: 31 | Success: False | Epsilon: 0.993
Episode 008 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.991
Episode 009 | Reward:  -15.000 | Steps: 40 | Success: False | Epsilon: 0.990
Episode 010 | Reward:   38.000 | Steps: 23 | Success: True | Epsilon: 0.989
Episode 011 | Reward:    8.000 | Steps: 20 | Success: True | Epsilon: 0.988
Episode 012 | Reward:    5.000 | Steps: 10 | Success: True | Epsilon: 0.987
Episode 013 | Reward:   31.000 | Steps: 23 | Success: True | Epsilon: 0.985
Episode 014 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.984
Episode 015 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.983
Episode 016 | Reward:   28.000 | Steps: 12 | Success: True | Epsilon: 0.982
Episode 017 | Reward:   34.000 | Steps: 24 | Success: True | Epsilon: 0.980
Episode 018 | Reward:   10.000 | Steps: 40 | Success: False | Epsilon: 0.979
Episode 019 | Reward:   37.000 | Steps: 17 | Success: True | Epsilon: 0.978
Episode 020 | Reward:   22.000 | Steps:  9 | Success: True | Epsilon: 0.977
Episode 021 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.975
Episode 022 | Reward:   46.000 | Steps: 31 | Success: True | Epsilon: 0.974
Episode 023 | Reward:  -24.000 | Steps: 40 | Success: False | Epsilon: 0.973
Episode 024 | Reward:   16.000 | Steps: 40 | Success: False | Epsilon: 0.972
Episode 025 | Reward:   42.000 | Steps: 28 | Success: True | Epsilon: 0.971
Episode 026 | Reward:   31.000 | Steps: 23 | Success: True | Epsilon: 0.969
Episode 027 | Reward: -166.000 | Steps: 40 | Success: False | Epsilon: 0.968
Episode 028 | Reward:   12.000 | Steps: 25 | Success: True | Epsilon: 0.967
Episode 029 | Reward:   32.000 | Steps: 26 | Success: True | Epsilon: 0.966
Episode 030 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.964
Episode 031 | Reward: -154.000 | Steps: 40 | Success: False | Epsilon: 0.963
Episode 032 | Reward:   30.000 | Steps: 22 | Success: True | Epsilon: 0.962
Episode 033 | Reward:   26.000 | Steps: 26 | Success: True | Epsilon: 0.961
Episode 034 | Reward:   26.000 | Steps: 20 | Success: True | Epsilon: 0.960
Episode 035 | Reward:   30.000 | Steps: 15 | Success: True | Epsilon: 0.958
Episode 036 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.957
Episode 037 | Reward:   24.000 | Steps: 22 | Success: True | Epsilon: 0.956
Episode 038 | Reward:   -4.000 | Steps: 40 | Success: False | Epsilon: 0.955
Episode 039 | Reward:   18.000 | Steps: 19 | Success: True | Epsilon: 0.953
Episode 040 | Reward:   20.000 | Steps: 30 | Success: True | Epsilon: 0.952
Episode 041 | Reward:    0.000 | Steps: 28 | Success: True | Epsilon: 0.951
Episode 042 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.950
Episode 043 | Reward:    4.000 | Steps: 30 | Success: True | Epsilon: 0.948
Episode 044 | Reward:   49.000 | Steps: 23 | Success: True | Epsilon: 0.947
Episode 045 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.946
Episode 046 | Reward:   36.000 | Steps: 25 | Success: True | Epsilon: 0.945
Episode 047 | Reward:   16.000 | Steps:  6 | Success: True | Epsilon: 0.944
