/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 001 | Reward:  -79.900 | Steps:  1 | Success: False | Epsilon: 1.000
Episode 002 | Reward:  -39.865 | Steps:  4 | Success: True | Epsilon: 0.996
Episode 003 | Reward: -697.222 | Steps: 19 | Success: True | Epsilon: 0.994
Episode 004 | Reward: -1156.336 | Steps: 26 | Success: True | Epsilon: 0.992
Episode 005 | Reward: -103.859 | Steps:  1 | Success: False | Epsilon: 0.989
Episode 006 | Reward: -110.783 | Steps:  1 | Success: False | Epsilon: 0.987
Episode 007 | Reward: -856.378 | Steps: 23 | Success: True | Epsilon: 0.985
Episode 008 | Reward:  -66.984 | Steps:  5 | Success: True | Epsilon: 0.983
Episode 009 | Reward: -497.279 | Steps:  7 | Success: False | Epsilon: 0.981
Episode 010 | Reward:  -26.190 | Steps:  3 | Success: True | Epsilon: 0.980
Episode 011 | Reward: -214.462 | Steps: 11 | Success: True | Epsilon: 0.978
Episode 012 | Reward: -755.021 | Steps: 24 | Success: True | Epsilon: 0.976
Episode 013 | Reward: -1157.012 | Steps: 29 | Success: True | Epsilon: 0.974
Episode 014 | Reward: -458.784 | Steps:  7 | Success: False | Epsilon: 0.973
Episode 015 | Reward: -792.453 | Steps: 21 | Success: True | Epsilon: 0.971
Episode 016 | Reward: -812.549 | Steps: 22 | Success: True | Epsilon: 0.969
Episode 017 | Reward: -1289.543 | Steps: 29 | Success: True | Epsilon: 0.968
Episode 018 | Reward: -127.713 | Steps:  8 | Success: True | Epsilon: 0.966
Episode 019 | Reward: -833.104 | Steps: 11 | Success: False | Epsilon: 0.965
Episode 020 | Reward: -393.958 | Steps:  6 | Success: False | Epsilon: 0.963
Episode 021 | Reward: -103.500 | Steps:  1 | Success: False | Epsilon: 0.961
Episode 022 | Reward: -103.500 | Steps:  1 | Success: False | Epsilon: 0.960
Episode 023 | Reward:  -41.476 | Steps:  4 | Success: True | Epsilon: 0.958
Episode 024 | Reward: -324.240 | Steps:  5 | Success: False | Epsilon: 0.957
Episode 025 | Reward: -849.762 | Steps: 25 | Success: True | Epsilon: 0.955
Validation | episode=25 success=0.00% recent_reward=-475.675
New best model saved. val_success=0.00% recent_reward=-475.675
Episode 026 | Reward: -178.278 | Steps:  8 | Success: True | Epsilon: 0.954
Episode 027 | Reward: -426.901 | Steps:  6 | Success: False | Epsilon: 0.952
Episode 028 | Reward: -103.861 | Steps:  1 | Success: False | Epsilon: 0.951
Episode 029 | Reward:  -81.242 | Steps:  1 | Success: False | Epsilon: 0.950
Episode 030 | Reward: -1066.689 | Steps: 27 | Success: True | Epsilon: 0.948
Episode 031 | Reward: -480.994 | Steps: 17 | Success: True | Epsilon: 0.947
Episode 032 | Reward: -1732.927 | Steps: 39 | Success: True | Epsilon: 0.945
Episode 033 | Reward: -408.243 | Steps: 16 | Success: True | Epsilon: 0.944
Episode 034 | Reward: -668.907 | Steps: 22 | Success: True | Epsilon: 0.942
Episode 035 | Reward: -428.736 | Steps:  6 | Success: False | Epsilon: 0.941
Episode 036 | Reward: -103.933 | Steps:  1 | Success: False | Epsilon: 0.940
Episode 037 | Reward: -486.301 | Steps:  7 | Success: False | Epsilon: 0.938
Episode 038 | Reward:  -26.679 | Steps:  3 | Success: True | Epsilon: 0.937
Episode 039 | Reward: -700.371 | Steps: 22 | Success: True | Epsilon: 0.936
Episode 040 | Reward: -931.575 | Steps: 25 | Success: True | Epsilon: 0.934
Episode 041 | Reward: -329.224 | Steps: 11 | Success: True | Epsilon: 0.933
Episode 042 | Reward: -110.658 | Steps:  1 | Success: False | Epsilon: 0.932
Episode 043 | Reward:  -26.130 | Steps:  3 | Success: True | Epsilon: 0.930
Episode 044 | Reward: -103.975 | Steps:  1 | Success: False | Epsilon: 0.929
Episode 045 | Reward: -1044.273 | Steps: 36 | Success: True | Epsilon: 0.928
Episode 046 | Reward:  -27.204 | Steps:  3 | Success: True | Epsilon: 0.926
Episode 047 | Reward: -474.362 | Steps: 17 | Success: True | Epsilon: 0.925
Episode 048 | Reward: -575.948 | Steps: 18 | Success: True | Epsilon: 0.924
Episode 049 | Reward: -621.723 | Steps: 20 | Success: True | Epsilon: 0.922
Episode 050 | Reward: -724.089 | Steps: 29 | Success: True | Epsilon: 0.921
Validation | episode=50 success=20.00% recent_reward=-442.857
New best model saved. val_success=20.00% recent_reward=-442.857
Episode 051 | Reward: -403.010 | Steps:  6 | Success: False | Epsilon: 0.920
Episode 052 | Reward:  -93.162 | Steps:  6 | Success: True | Epsilon: 0.919
Episode 053 | Reward: -110.253 | Steps:  1 | Success: False | Epsilon: 0.917
Episode 054 | Reward: -106.347 | Steps:  1 | Success: False | Epsilon: 0.916
Episode 055 | Reward: -468.045 | Steps:  7 | Success: False | Epsilon: 0.915
Episode 056 | Reward:  -40.460 | Steps:  4 | Success: True | Epsilon: 0.913
Episode 057 | Reward: -109.592 | Steps:  1 | Success: False | Epsilon: 0.912
Episode 058 | Reward: -109.773 | Steps:  1 | Success: False | Epsilon: 0.911
Episode 059 | Reward: -480.135 | Steps:  7 | Success: False | Epsilon: 0.910
Episode 060 | Reward: -932.875 | Steps: 23 | Success: True | Epsilon: 0.908
Episode 061 | Reward: -712.448 | Steps: 22 | Success: True | Epsilon: 0.907
Episode 062 | Reward: -290.358 | Steps: 12 | Success: True | Epsilon: 0.906
Episode 063 | Reward:  -66.891 | Steps:  6 | Success: True | Epsilon: 0.905
Episode 064 | Reward: -503.820 | Steps: 18 | Success: True | Epsilon: 0.904
Episode 065 | Reward: -394.645 | Steps: 13 | Success: True | Epsilon: 0.902
Episode 066 | Reward: -750.612 | Steps: 23 | Success: True | Epsilon: 0.901
Episode 067 | Reward: -103.500 | Steps:  1 | Success: False | Epsilon: 0.900
Episode 068 | Reward: -699.088 | Steps: 19 | Success: True | Epsilon: 0.899
Episode 069 | Reward:  -44.305 | Steps:  4 | Success: True | Epsilon: 0.897
Episode 070 | Reward: -516.233 | Steps: 20 | Success: True | Epsilon: 0.896
Episode 071 | Reward: -257.398 | Steps: 10 | Success: True | Epsilon: 0.895
Episode 072 | Reward: -914.012 | Steps: 22 | Success: True | Epsilon: 0.894
Episode 073 | Reward: -138.296 | Steps:  1 | Success: False | Epsilon: 0.893
Episode 074 | Reward: -120.009 | Steps:  6 | Success: True | Epsilon: 0.891
Episode 075 | Reward: -140.414 | Steps:  1 | Success: False | Epsilon: 0.890
Validation | episode=75 success=20.00% recent_reward=-364.300
New best model saved. val_success=20.00% recent_reward=-364.300
Episode 076 | Reward: -104.016 | Steps:  1 | Success: False | Epsilon: 0.889
Episode 077 | Reward: -103.762 | Steps:  1 | Success: False | Epsilon: 0.888
Episode 078 | Reward: -555.331 | Steps: 17 | Success: True | Epsilon: 0.887
Episode 079 | Reward: -1258.362 | Steps: 29 | Success: True | Epsilon: 0.886
Episode 080 | Reward: -122.591 | Steps:  6 | Success: True | Epsilon: 0.884
Episode 081 | Reward: -247.091 | Steps: 16 | Success: True | Epsilon: 0.883
Episode 082 | Reward: -1516.927 | Steps: 32 | Success: True | Epsilon: 0.882
Episode 083 | Reward: -501.330 | Steps: 27 | Success: True | Epsilon: 0.881
Episode 084 | Reward: -363.883 | Steps: 14 | Success: True | Epsilon: 0.880
Episode 085 | Reward: -109.722 | Steps:  1 | Success: False | Epsilon: 0.879
Episode 086 | Reward: -104.085 | Steps:  1 | Success: False | Epsilon: 0.877
Episode 087 | Reward: -934.038 | Steps: 22 | Success: True | Epsilon: 0.876
Episode 088 | Reward: -186.582 | Steps:  9 | Success: True | Epsilon: 0.875
Episode 089 | Reward: -103.500 | Steps:  1 | Success: False | Epsilon: 0.874
Episode 090 | Reward: -626.829 | Steps: 21 | Success: True | Epsilon: 0.873
Episode 091 | Reward: -496.799 | Steps:  7 | Success: False | Epsilon: 0.872
Episode 092 | Reward: -532.124 | Steps: 17 | Success: True | Epsilon: 0.871
Episode 093 | Reward:  -27.559 | Steps:  3 | Success: True | Epsilon: 0.869
Episode 094 | Reward: -783.766 | Steps: 19 | Success: True | Epsilon: 0.868
Episode 095 | Reward: -363.125 | Steps: 17 | Success: True | Epsilon: 0.867
Episode 096 | Reward: -761.086 | Steps: 25 | Success: True | Epsilon: 0.866
Episode 097 | Reward: -121.530 | Steps:  1 | Success: False | Epsilon: 0.865
